col_0_0_	col_1_0_	col_2_0_
A00002119	260.000000000	3120.000000000
A00002026	260.000000000	3120.000000000
A00002157	260.000000000	3120.000000000
A00002207	260.000000000	3120.000000000
A00001924	260.000000000	3120.000000000
A00002271	260.000000000	3120.000000000
A00002014	260.000000000	3120.000000000
A00002288	260.000000000	3120.000000000
A00002322	260.000000000	3120.000000000
A00002317	260.000000000	3120.000000000
A00002200	260.000000000	3120.000000000
A00002256	260.000000000	3120.000000000
A00002261	260.000000000	3120.000000000
A00002215	260.000000000	3120.000000000
A00002278	260.000000000	3120.000000000
A00002210	260.000000000	3120.000000000
A00002095	260.000000000	3120.000000000
A00002306	260.000000000	3120.000000000
A00002196	260.000000000	3120.000000000
A00002508	260.000000000	3120.000000000
A00002366	260.000000000	3120.000000000
A00002488	260.000000000	3120.000000000
A00002423	260.000000000	3120.000000000
A00002586	260.000000000	3120.000000000
A00002533	260.000000000	3120.000000000
A00001695	260.000000000	3120.000000000
A00002553	260.000000000	3120.000000000
A00001777	260.000000000	3120.000000000
A00002561	260.000000000	3120.000000000
A00001805	260.000000000	3120.000000000
A00002584	260.000000000	3120.000000000
A00001884	260.000000000	3120.000000000
A00001731	260.000000000	3120.000000000
A00001911	260.000000000	3120.000000000
A00001693	260.000000000	3120.000000000
A00001981	260.000000000	3120.000000000
A00001795	260.000000000	3120.000000000
A00002007	260.000000000	3120.000000000
A00001820	260.000000000	3120.000000000
A00002205	260.000000000	3120.000000000
A00001845	260.000000000	3120.000000000
A00002003	260.000000000	3120.000000000
A00001830	260.000000000	3120.000000000
A00002062	260.000000000	3120.000000000
A00001714	260.000000000	3120.000000000
A00002188	260.000000000	3120.000000000
A00001952	260.000000000	3120.000000000
A00002308	260.000000000	3120.000000000
A00002240	260.000000000	3120.000000000
A00001785	260.000000000	3120.000000000
A00001914	260.000000000	3120.000000000
A00001614	260.000000000	3120.000000000
A00002081	260.000000000	3120.000000000
A00001644	260.000000000	3120.000000000
A00002302	260.000000000	3120.000000000
A00001706	260.000000000	3120.000000000
A00002465	260.000000000	3120.000000000
A00001951	260.000000000	3120.000000000
A00002090	260.000000000	3120.000000000
A00002071	260.000000000	3120.000000000
A00002368	260.000000000	3120.000000000
A00002264	260.000000000	3120.000000000
A00002525	260.000000000	3120.000000000
A00002002	260.000000000	3120.000000000
A00002544	260.000000000	3120.000000000
A00002122	260.000000000	3120.000000000
A00001652	260.000000000	3120.000000000
A00002498	260.000000000	3120.000000000
A00001756	260.000000000	3120.000000000
A00002512	260.000000000	3120.000000000
A00001856	260.000000000	3120.000000000
A00001751	260.000000000	3120.000000000
A00001826	260.000000000	3120.000000000
A00001733	260.000000000	3120.000000000
A00001921	260.000000000	3120.000000000
A00001784	260.000000000	3120.000000000
A00002006	260.000000000	3120.000000000
A00001800	260.000000000	3120.000000000
A00002125	260.000000000	3120.000000000
A00001824	260.000000000	3120.000000000
A00002191	260.000000000	3120.000000000
A00001874	260.000000000	3120.000000000
A00002021	260.000000000	3120.000000000
A00002171	260.000000000	3120.000000000
A00001990	260.000000000	3120.000000000
A00001907	260.000000000	3120.000000000
A00002105	260.000000000	3120.000000000
A00001995	260.000000000	3120.000000000
A00002168	260.000000000	3120.000000000
A00002016	260.000000000	3120.000000000
A00002319	260.000000000	3120.000000000
A00001946	260.000000000	3120.000000000
A00002170	260.000000000	3120.000000000
A00002069	260.000000000	3120.000000000
A00002248	260.000000000	3120.000000000
A00002415	260.000000000	3120.000000000
A00002591	260.000000000	3120.000000000
A00002500	260.000000000	3120.000000000
A00002529	260.000000000	3120.000000000
A00002097	260.000000000	3120.000000000
A00002556	260.000000000	3120.000000000
A00002414	260.000000000	3120.000000000
A00001769	260.000000000	3120.000000000
A00002286	260.000000000	3120.000000000
A00001622	260.000000000	3120.000000000
A00002392	260.000000000	3120.000000000
A00001691	260.000000000	3120.000000000
A00002545	260.000000000	3120.000000000
A00001814	260.000000000	3120.000000000
A00001631	260.000000000	3120.000000000
A00001825	260.000000000	3120.000000000
A00001881	260.000000000	3120.000000000
A00001840	260.000000000	3120.000000000
A00001759	260.000000000	3120.000000000
A00001778	260.000000000	3120.000000000
A00001836	260.000000000	3120.000000000
A00001798	260.000000000	3120.000000000
A00001933	260.000000000	3120.000000000
A00001908	260.000000000	3120.000000000
A00001999	260.000000000	3120.000000000
A00001972	260.000000000	3120.000000000
A00001943	260.000000000	3120.000000000
A00002103	260.000000000	3120.000000000
A00002011	260.000000000	3120.000000000
A00002147	260.000000000	3120.000000000
A00001900	260.000000000	3120.000000000
A00002437	260.000000000	3120.000000000
A00002353	260.000000000	3120.000000000
A00002249	260.000000000	3120.000000000
A00002142	260.000000000	3120.000000000
A00002524	260.000000000	3120.000000000
A00002376	260.000000000	3120.000000000
A00002311	260.000000000	3120.000000000
A00002395	260.000000000	3120.000000000
A00002574	260.000000000	3120.000000000
A00002460	260.000000000	3120.000000000
A00002580	260.000000000	3120.000000000
A00002435	260.000000000	3120.000000000
A00001648	260.000000000	3120.000000000
A00002597	260.000000000	3120.000000000
A00001702	260.000000000	3120.000000000
A00001790	260.000000000	3120.000000000
A00001748	260.000000000	3120.000000000
A00001898	260.000000000	3120.000000000
A00001846	260.000000000	3120.000000000
A00001849	260.000000000	3120.000000000
A00001796	260.000000000	3120.000000000
A00002043	260.000000000	3120.000000000
A00001968	260.000000000	3120.000000000
A00001905	260.000000000	3120.000000000
A00001954	260.000000000	3120.000000000
A00001974	260.000000000	3120.000000000
A00001978	260.000000000	3120.000000000
A00002469	260.000000000	3120.000000000
A00002203	260.000000000	3120.000000000
A00002520	260.000000000	3120.000000000
A00002044	260.000000000	3120.000000000
A00002464	260.000000000	3120.000000000
A00002176	260.000000000	3120.000000000
A00002572	260.000000000	3120.000000000
A00002484	260.000000000	3120.000000000
A00002536	260.000000000	3120.000000000
A00002124	260.000000000	3120.000000000
A00002581	260.000000000	3120.000000000
A00002181	260.000000000	3120.000000000
A00001722	260.000000000	3120.000000000
A00002457	260.000000000	3120.000000000
A00001638	260.000000000	3120.000000000
A00001682	260.000000000	3120.000000000
A00001662	260.000000000	3120.000000000
A00001700	260.000000000	3120.000000000
A00001893	260.000000000	3120.000000000
A00001659	260.000000000	3120.000000000
A00001801	260.000000000	3120.000000000
A00001843	260.000000000	3120.000000000
A00002077	260.000000000	3120.000000000
A00001923	260.000000000	3120.000000000
A00002150	260.000000000	3120.000000000
A00001973	260.000000000	3120.000000000
A00002051	260.000000000	3120.000000000
A00001992	260.000000000	3120.000000000
A00002204	260.000000000	3120.000000000
A00002039	260.000000000	3120.000000000
A00002281	260.000000000	3120.000000000
A00002092	260.000000000	3120.000000000
A00002495	260.000000000	3120.000000000
A00002409	260.000000000	3120.000000000
A00002507	260.000000000	3120.000000000
A00002444	260.000000000	3120.000000000
A00002419	260.000000000	3120.000000000
A00002523	260.000000000	3120.000000000
A00002496	260.000000000	3120.000000000
A00002250	260.000000000	3120.000000000
A00002303	260.000000000	3120.000000000
A00002267	260.000000000	3120.000000000
A00002416	260.000000000	3120.000000000
A00002354	260.000000000	3120.000000000
A00002442	260.000000000	3120.000000000
A00002614	260.000000000	3120.000000000
A00002588	260.000000000	3120.000000000
A00002573	260.000000000	3120.000000000
A00001860	260.000000000	3120.000000000
A00001624	260.000000000	3120.000000000
A00002001	260.000000000	3120.000000000
A00001658	260.000000000	3120.000000000
A00002089	260.000000000	3120.000000000
A00001616	260.000000000	3120.000000000
A00001949	260.000000000	3120.000000000
A00001688	260.000000000	3120.000000000
A00001975	260.000000000	3120.000000000
A00001931	260.000000000	3120.000000000
A00001965	260.000000000	3120.000000000
A00001962	260.000000000	3120.000000000
A00001997	260.000000000	3120.000000000
A00001985	260.000000000	3120.000000000
A00002432	260.000000000	3120.000000000
A00002138	260.000000000	3120.000000000
A00002292	260.000000000	3120.000000000
A00002152	260.000000000	3120.000000000
A00002503	260.000000000	3120.000000000
A00002139	260.000000000	3120.000000000
A00002519	260.000000000	3120.000000000
A00002427	260.000000000	3120.000000000
A00002411	260.000000000	3120.000000000
A00002160	260.000000000	3120.000000000
A00001621	260.000000000	3120.000000000
A00002348	260.000000000	3120.000000000
A00001637	260.000000000	3120.000000000
A00002576	260.000000000	3120.000000000
A00001961	260.000000000	3120.000000000
A00002585	260.000000000	3120.000000000
A00001964	260.000000000	3120.000000000
A00002569	260.000000000	3120.000000000
A00001982	260.000000000	3120.000000000
A00001870	260.000000000	3120.000000000
A00002381	260.000000000	3120.000000000
A00001674	260.000000000	3120.000000000
A00002185	260.000000000	3120.000000000
A00001685	260.000000000	3120.000000000
A00002253	260.000000000	3120.000000000
A00001861	260.000000000	3120.000000000
A00002328	260.000000000	3120.000000000
A00001891	260.000000000	3120.000000000
A00002404	260.000000000	3120.000000000
A00001918	260.000000000	3120.000000000
A00002594	260.000000000	3120.000000000
A00002420	260.000000000	3120.000000000
A00002560	260.000000000	3120.000000000
A00002466	260.000000000	3120.000000000
A00001894	260.000000000	3120.000000000
A00002402	260.000000000	3120.000000000
A00001919	260.000000000	3120.000000000
A00002380	260.000000000	3120.000000000
A00001971	260.000000000	3120.000000000
A00002459	260.000000000	3120.000000000
